PDB1,PDB2,c_RMSD
1a14,1a2y,22.885128840514735
1a14,1a6u,22.927208417417233
1a14,1a6v,21.801604955162738
1a14,1a6w,22.961773986052453
1a14,1a7n,30.506763137092136
1a14,1a7o,30.70196400189793
1a14,1a7p,30.591220052320143
1a14,1a7q,30.916168721407793
1a14,1a7r,30.356762467797335
1a14,1ap2,23.082044488199408
1a14,1ar1,32.34398965052355
1a14,1bfv,23.901381025874677
1a14,1bvk,29.021133147490602
1a14,1bvl,22.471138608096116
1a14,1cfv,23.897495830994227
1a14,1c08,27.225353495349715
1a14,1dl7,20.94216095876652
1a14,1dlf,21.67936308186801
1a14,1dql,21.138918003997123
1a14,1dsf,20.891175680561286
1a14,1dvf,14.824830196859413
1a14,1dzb,37.20441973630107
1a14,1fgv,26.436754375026407
1a14,1g7h,22.66628678410088
1a14,1ezv,58.15918038549545
1a14,1g7i,22.621450202622793
1a14,1g7j,21.17597777237958
1a14,1g7l,21.10537123338886
1a14,1g7m,21.061603883373156
1a14,1h8n,26.563346723165743
1a14,1h8o,34.348272268387454
1a14,1i3g,23.181938676455665
1a14,1h8s,34.210518134472515
1a14,1i8i,32.04600777942991
1a14,1i8k,32.31402153936281
1a14,1ic4,27.27900203562846
1a14,1ic5,27.1163148436225
1a14,1ic7,27.226829857559913
1a14,1igm,23.596485115316874
1a14,1j05,19.19716030557451
1a14,1j1o,27.226006306972597
1a14,1j1p,27.206081628738087
1a14,1j1x,27.21833598636437
1a14,1jhl,23.2692236762028
1a14,1jp5,30.081418107722406
1a14,1jv5,32.694230356931556
1a14,1kip,22.652511561758548
1a14,1kb9,58.30608279409322
1a14,1kiq,22.679672190548693
1a14,1kir,22.775323624304246
1a14,1ktr,27.902229362789544
1a14,1lmk,39.958622599238346
1a14,1kyo,63.31481959746712
1a14,1mfa,34.206748483157675
1a14,1moe,37.833546348316176
1a14,1mqk,21.988229299859125
1a14,1mvu,21.176850935279962
1a14,1n4x,19.454356312868505
1a14,1nma,12.178849370017476
1a14,1nmb,12.13540282268364
1a14,1nqb,51.05605007443382
1a14,1nmc,41.053504028409094
1a14,1oaq,18.637532462272553
1a14,1oar,30.744457288756976
1a14,1oau,31.499104678932063
1a14,1oax,27.341892375059583
1a14,1oay,31.399050089908023
1a14,1oaz,14.76521363868378
1a14,1ocw,12.450708026570322
1a14,1p4b,26.385379382644793
1a14,1p4i,22.380263066219626
1a14,1qle,38.306192680712826
1a14,1p84,58.53000248609855
1a14,1qok,24.626351355372396
1a14,1svz,29.782149601191836
1a14,1ua6,27.08739277268341
1a14,1uac,23.959070253268834
1a14,1vfa,23.640873722892064
1a14,1vfb,22.709664875198012
1a14,1wt5,17.915224289018944
1a14,1wz1,27.566465979027736
1a14,1x9q,35.56196026128041
1a14,1xiw,20.69407391332686
1a14,2a9m,23.72351990427524
1a14,2a9n,23.478058814536087
1a14,2bfv,19.642169651950596
1a14,2ap2,26.965814493519122
1a14,2cju,10.52158155148114
1a14,2bjm,12.097595775928122
1a14,2d7t,22.30028183601772
1a14,2dlf,21.434582988052707
1a14,2dqc,27.20410722711787
1a14,2dqe,27.239339429052613
1a14,2dqd,27.24664946462856
1a14,2dqf,28.033263759603607
1a14,2dqg,27.22086400152679
1a14,2dqh,27.237503689672426
1a14,2dqi,27.05234771399781
1a14,2dqj,27.231732186209204
1a14,2e27,15.518160290618336
1a14,2eks,20.60806703307825
1a14,2eiz,20.64350540886616
1a14,2gjj,32.05224956782594
1a14,2gki,27.920244498248067
1a14,2gsg,22.825177368586477
1a14,2otu,22.309417025422626
1a14,2uud,28.33224038665796
1a14,2otw,21.85254300316038
1a14,2ibz,58.261941455670325
1a14,2uzi,35.474301706976625
1a14,2vh5,35.427626614033976
1a14,2xtj,39.97487783176565
