PDB1,PDB2,DTW_Distance_Normalized
1a14,1a6u,68.52358561871098
1a14,1a7o,63.14187154183496
1a14,1a7p,62.924608819126504
1a14,1a7n,63.02182695206995
1a14,1a6w,50.77903423589819
1a14,1a7q,62.81674171497135
1a14,1a7r,63.09486207361175
1a14,1a2y,85.93762015049754
1a14,1bfv,52.03854743483799
1a14,1cfv,52.066715882494556
1a14,1dl7,69.95059979195689
1a14,1ap2,62.11614321104062
1a14,1dlf,67.91947144153072
1a14,1c08,48.77091463251052
1a14,1bvl,39.86041887881963
1a14,1dql,82.98053478415495
1a14,1dsf,47.62222353305692
1a14,1a6v,80.10575342665624
1a14,1fgv,92.722609501259
1a14,1dvf,95.35904156927968
1a14,1bvk,71.98586263425267
1a14,1g7i,85.96128982967801
1a14,1g7h,86.0138126448089
1a14,1g7j,79.65794004801832
1a14,1g7l,79.50116337670221
1a14,1h8n,59.80541629105612
1a14,1g7m,79.3756996977563
1a14,1i3g,59.307768637837924
1a14,1dzb,80.63070355385457
1a14,1ar1,68.99128053394307
1a14,1i8i,61.037731622558795
1a14,1h8o,53.25856568610746
1a14,1i8k,61.60888479893504
1a14,1h8s,53.83055446662155
1a14,1igm,58.595987943262834
1a14,1ic4,48.717040478014475
1a14,1ic5,48.84598483914643
1a14,1ic7,48.795774480096654
1a14,1j1o,49.488120507570656
1a14,1j05,42.83589840359787
1a14,1j1p,49.22835470960031
1a14,1j1x,49.22583291421529
1a14,1jv5,104.29151481428957
1a14,1jhl,107.7962253545624
1a14,1kip,86.09039483039207
1a14,1ktr,54.65827605303596
1a14,1kiq,86.06217364392249
1a14,1jp5,70.64671216603197
1a14,1mfa,62.43245148502923
1a14,1kir,86.06749462925531
1a14,1mqk,74.25296427533517
1a14,1mvu,178.99225441926444
1a14,1moe,86.63111557680018
1a14,1n4x,38.92752896385752
1a14,1nma,36.465494324083195
1a14,1oaq,55.27206343295527
1a14,1nqb,78.3219874949237
1a14,1lmk,111.19022948000611
1a14,1nmb,38.67576167198143
1a14,1ezv,75.51975704356002
1a14,1ocw,24.950373348305302
1a14,1p4b,49.139185728170936
1a14,1p4i,52.12282993279251
1a14,1oax,37.45885274623171
1a14,1oau,38.15080576754478
1a14,1oay,38.69091397560628
1a14,1oar,29.139498789495335
1a14,1oaz,30.06952351578866
1a14,1nmc,77.68247761660953
1a14,1qok,61.87529095793082
1a14,1vfa,63.11631103170515
1a14,1ua6,48.822262140660506
1a14,1kb9,75.52335696220398
1a14,1uac,59.79069274391224
1a14,1svz,98.54627989476023
1a14,1vfb,86.02738583633324
1a14,1x9q,30.052223999783923
1a14,1wz1,91.45111205531101
1a14,1wt5,76.95630376479205
1a14,2bfv,78.23549411499422
1a14,2bjm,24.420594562547276
1a14,2cju,35.66449390325377
1a14,2a9n,57.80955688002842
1a14,2a9m,23.61208378498667
1a14,2ap2,34.52166770623767
1a14,2d7t,55.48679262672375
1a14,2dlf,68.57885678609212
1a14,1xiw,70.5111579421299
1a14,2dqc,49.176752861808325
1a14,1qle,41.08102374665999
1a14,2dqd,49.53147568266376
1a14,2dqe,49.47204537952648
1a14,2dqg,49.41836147214852
1a14,2dqh,49.19416117044835
1a14,2e27,76.50077264449176
1a14,2dqi,49.174866448820026
1a14,2dqj,49.438646687401665
1a14,2eiz,100.9967163559658
1a14,2eks,76.60369431738759
1a14,2dqf,39.727465283161116
1a14,2gjj,36.4332205380479
1a14,2gki,139.77580445732167
1a14,1p84,75.6488561100916
1a14,2gsg,38.87358100924121
1a14,2uzi,70.20086705450917
1a14,2otw,83.3104707586999
1a14,2uud,64.89504070687138
1a14,2vh5,70.06399748683755
1a14,2yss,100.40743984895595
1a14,2otu,94.99408732085932
1a14,3a67,49.234292045917385
1a14,2yc1,127.68532926272722
1a14,2xtj,96.69480952582396
1a14,2ybr,97.70419471086774
1a14,2znw,122.79289434160505
1a14,3a6b,49.114847382688836
1a14,3a6c,49.07005405270196
1a14,2znx,123.55406548256097
1a14,3dv4,91.27290130440706
1a14,3dv6,113.54285833570692
1a14,1kyo,60.29948892097845
1a14,3dus,113.84112558801189
1a14,3dur,104.12568945666544
1a14,3duu,92.14024814281588
1a14,3esu,53.45392249300589
1a14,3et9,53.68234698601018
1a14,3gkz,84.09644039004456
1a14,3gm0,84.23518152797924
1a14,3esv,75.70084105285943
1a14,2ibz,75.51704956446837
1a14,3auv,58.3514267941213
1a14,3h3p,119.43748967787799
